DEB [20220215-10:36:08.428] thr=1   paramiko.transport: starting thread (client mode): 0x435e4048
DEB [20220215-10:36:08.429] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:36:08.433] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:36:08.433] thr=1   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:36:08.435] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:36:08.435] thr=1   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:36:08.435] thr=1   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:36:08.435] thr=1   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:36:08.436] thr=1   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:36:08.436] thr=1   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:36:08.436] thr=1   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:36:08.436] thr=1   paramiko.transport: client compress: zlib, none
DEB [20220215-10:36:08.436] thr=1   paramiko.transport: server compress: zlib, none
DEB [20220215-10:36:08.436] thr=1   paramiko.transport: client lang: <none>
DEB [20220215-10:36:08.436] thr=1   paramiko.transport: server lang: <none>
DEB [20220215-10:36:08.436] thr=1   paramiko.transport: kex follows: False
DEB [20220215-10:36:08.436] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:36:08.436] thr=1   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:36:08.437] thr=1   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:36:08.437] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:36:08.437] thr=1   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:36:08.437] thr=1   paramiko.transport: Compression: none
DEB [20220215-10:36:08.437] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:36:08.479] thr=1   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:36:08.480] thr=1   paramiko.transport: Switch to new keys ...
DEB [20220215-10:36:08.480] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:36:08.481] thr=1   paramiko.transport: userauth is OK
INF [20220215-10:36:08.481] thr=1   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:36:18.242] thr=3   paramiko.transport: starting thread (client mode): 0x435ef828
DEB [20220215-10:36:18.242] thr=3   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:36:18.246] thr=3   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:36:18.246] thr=3   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:36:18.247] thr=3   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:36:18.248] thr=3   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:36:18.248] thr=3   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:36:18.248] thr=3   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:36:18.248] thr=3   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:36:18.248] thr=3   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:36:18.248] thr=3   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:36:18.248] thr=3   paramiko.transport: client compress: zlib, none
DEB [20220215-10:36:18.248] thr=3   paramiko.transport: server compress: zlib, none
DEB [20220215-10:36:18.248] thr=3   paramiko.transport: client lang: <none>
DEB [20220215-10:36:18.249] thr=3   paramiko.transport: server lang: <none>
DEB [20220215-10:36:18.249] thr=3   paramiko.transport: kex follows: False
DEB [20220215-10:36:18.249] thr=3   paramiko.transport: === Key exchange agreements ===
